Crop,State,District,Season,SowingMonth,MinTemp,MaxTemp,SoilPHMin,SoilPHMax,MinRainfall,MaxRainfall
Bajra,Andhra Pradesh,ANANTAPUR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,EAST GODAVARI,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,CHITTOOR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,GUNTUR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,KADAPA,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,KURNOOL,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,PRAKASAM,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,SPSR NELLORE,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,SRIKAKULAM,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,VISAKHAPATANAM,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Andhra Pradesh,VIZIANAGARAM,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Bihar,BHAGALPUR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Bihar,BHOJPUR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Bihar,BUXAR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Bihar,KATIHAR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Bihar,SIWAN,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,AHMADABAD,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,AMRELI,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,ANAND,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,ARAVALLI,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,BANAS KANTHA,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,BHAVNAGAR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,BOTAD,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,DEVBHUMI DWARKA,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,GANDHINAGAR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,GIR SOMNATH,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,JAMNAGAR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,JUNAGADH,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,KACHCHH,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,KHEDA,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,MAHESANA,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,MAHISAGAR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,MORBI,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,NARMADA,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,PANCH MAHALS,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,PATAN,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,RAJKOT,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,SABAR KANTHA,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,SURAT,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,SURENDRANAGAR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Gujarat,VADODARA,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Himachal Pradesh,BILASPUR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Himachal Pradesh,HAMIRPUR,Kharif,June,20,30,7.0,8.0,400,750
Bajra,Himachal Pradesh,KANGRA,Kharif,June,20,30,7.0,8.0,400,750
