"REPORT_STATES","API_STATES","API_DISTRICTS","REPORT_DISTRICTS"
"Andaman and Nicobar Islands","Andaman and Nicobar Islands","PORT BLAIR","NICOBARS"
"Andaman and Nicobar Islands","Andaman and Nicobar Islands","DIGLIPUR","NORTH AND MIDDLE ANDAMAN"
"Andaman and Nicobar Islands","Andaman and Nicobar Islands","BAMBOO FLAT","SOUTH ANDAMANS"
"Andhra Pradesh","Andhra Pradesh","ANANTAPUR","ANANTAPUR"
"Andhra Pradesh","Andhra Pradesh","EAST GODAVARI","EAST GODAVARI"
"Andhra Pradesh","Andhra Pradesh","WEST GODAVARI","ANANTAPUR"
"Andhra Pradesh","Andhra Pradesh","CHITTOOR","CHITTOOR"
"Andhra Pradesh","Andhra Pradesh","GUNTUR","GUNTUR"
"Andhra Pradesh","Andhra Pradesh","KADAPA","KADAPA"
"Andhra Pradesh","Andhra Pradesh","KRISHNA","KRISHNA"
"Andhra Pradesh","Andhra Pradesh","KURNOOL","KURNOOL"
"Andhra Pradesh","Andhra Pradesh","SINGARAYAKONDA","PRAKASAM"
"Andhra Pradesh","Andhra Pradesh","NELLORE","SPSR NELLORE"
"Andhra Pradesh","Andhra Pradesh","SRIKAKULAM","SRIKAKULAM"
"Andhra Pradesh","Andhra Pradesh","VIZAG","VISAKHAPATANAM"
"Andhra Pradesh","Andhra Pradesh","VIZIANAGARAM","VIZIANAGARAM"
"Assam","Assam","TAMULPUR","BAKSA"
"Assam","Assam","BARPETA","BARPETA"
"Assam","Assam","BONGAIGAON","BONGAIGAON"
"Assam","Assam","SILCHAR","CACHAR"
"Assam","Assam","BASUGAON","CHIRANG"
"Assam","Assam","KHARUPATIA","DARRANG"
"Assam","Assam","DHEMAJI","DHEMAJI"
"Assam","Assam","DHUBRI","DHUBRI"
"Assam","Assam","DIBRUGARH","DIBRUGARH"
"Assam","Assam","HAFLONG","DIMA HASAO"
"Assam","Assam","GOALPARA","GOALPARA"
"Assam","Assam","GOLAGHAT","GOLAGHAT"
"Assam","Assam","HAILAKANDI","HAILAKANDI"
"Assam","Assam","JORHAT","JORHAT"
"Assam","Assam","DISPUR","KAMRUP"
"Assam","Assam","GUWAHATI","KAMRUP METRO"
"Assam","Assam","DIPHU","KARBI ANGLONG"
"Assam","Assam","KARIMGANJ","KARIMGANJ"
"Assam","Assam","KOKRAJHAR","KOKRAJHAR"
"Assam","Assam","LAKHIMPUR","LAKHIMPUR"
"Assam","Assam","DHARAMTUL","MARIGAON"
"Assam","Assam","DHING","NAGAON"
"Assam","Assam","NALBARI","NALBARI"
"Assam","Assam","AMGURI","SIVASAGAR"
"Assam","Assam","GOHPUR","SONITPUR"
"Assam","Assam","TINSUKIA","TINSUKIA"
"Assam","Assam","UDALGURI","UDALGURI"
"Bihar","Bihar","ARARIA","ARARIA"
"Bihar","Bihar","ARWAL","ARWAL"
"Bihar","Bihar","AURANGABAD","AURANGABAD"
"Bihar","Bihar","BANKA","BANKA"
"Bihar","Bihar","BEGUSARAI","BEGUSARAI"
"Bihar","Bihar","BHAGALPUR","BHAGALPUR"
"Bihar","Bihar","BHOJPUR","BHOJPUR"
"Bihar","Bihar","BUXAR","BUXAR"
"Bihar","Bihar","DARBHANGA","DARBHANGA"
"Bihar","Bihar","GAYA","GAYA"
"Bihar","Bihar","GOPALGANJ","GOPALGANJ"
"Bihar","Bihar","JAMUI","JAMUI"
"Bihar","Bihar","HULASGANJ","JEHANABAD"
"Bihar","Bihar","BHABUA","KAIMUR"
"Bihar","Bihar","KATIHAR","KATIHAR"
"Bihar","Bihar","KHAGARIA","KHAGARIA"
"Bihar","Bihar","KISHANGANJ","KISHANGANJ"
"Bihar","Bihar","LAKHISARAI","LAKHISARAI"
"Bihar","Bihar","BIHARIGANJ","MADHEPURA"
"Bihar","Bihar","MADHUBANI","MADHUBANI"
"Bihar","Bihar","MUNGER","MUNGER"
"Bihar","Bihar","MUZAFFARPUR","MUZAFFARPUR"
"Bihar","Bihar","RAJGIR","NALANDA"
"Bihar","Bihar","NAWADA","NAWADA"
"Bihar","Bihar","BETTIAH","PASHCHIM CHAMPARAN"
"Bihar","Bihar","PATNA","PATNA"
"Bihar","Bihar","MOTIHARI","PURBI CHAMPARAN"
"Bihar","Bihar","BIKRAMGANJ","ROHTAS"
"Bihar","Bihar","PURNIA","PURNIA"
"Bihar","Bihar","SAHARSA","SAHARSA"
"Bihar","Bihar","SAMASTIPUR","SAMASTIPUR"
"Bihar","Bihar","CHAPRA","SARAN"
"Bihar","Bihar","CHEWARA","SHEIKHPURA"
"Bihar","Bihar","SHEOHAR","SHEOHAR"
"Bihar","Bihar","SITAMARHI","SITAMARHI"
"Bihar","Bihar","SIWAN","SIWAN"
"Bihar","Bihar","SUPAUL","SUPAUL"
"Bihar","Bihar","LALGANJ","VAISHALI"
"Chandigarh","Chandigarh","CHANDIGARH","CHANDIGARH"
"Chhattisgarh","Chhattisgarh","GURUR","BALOD"
"Chhattisgarh","Chhattisgarh","BALODA BAZAR","BALODA BAZAR"
"Chhattisgarh","Chhattisgarh","KUSMI","BALRAMPUR"
"Chhattisgarh","Chhattisgarh","BASTAR","BASTAR"
"Chhattisgarh","Chhattisgarh","BEMETARA","BEMETARA"
"Chhattisgarh","Chhattisgarh","BHAIRAMGARH","BIJAPUR"
"Chhattisgarh","Chhattisgarh","BILASPUR","BILASPUR"
"Chhattisgarh","Chhattisgarh","BARSUR","DANTEWADA"
"Chhattisgarh","Chhattisgarh","DHAMTARI","DHAMTARI"
"Chhattisgarh","Chhattisgarh","DURG","DURG"
"Chhattisgarh","Chhattisgarh","GARIABAND","GARIYABAND"
"Chhattisgarh","Chhattisgarh","CHAMPA","CHAMPA (JANJGIR-CHAMPA)"
"Chhattisgarh","Chhattisgarh","JASHPURNAGAR","JASHPUR"
"Chhattisgarh","Chhattisgarh","KAWARDHA","KABIRDHAM"
"Chhattisgarh","Chhattisgarh","KANKER","KANKER"
"Chhattisgarh","Chhattisgarh","KONDAGAON","KONDAGAON"
"Chhattisgarh","Chhattisgarh","KORBA","KORBA"
"Chhattisgarh","Chhattisgarh","KOREA","KOREA"
"Chhattisgarh","Chhattisgarh","MAHASAMUND","MAHASAMUND"
"Chhattisgarh","Chhattisgarh","MUNGELI","MUNGELI"
"Chhattisgarh","Chhattisgarh","","NARAYANPUR"
"Chhattisgarh","Chhattisgarh","RAIGARH","RAIGARH"
"Chhattisgarh","Chhattisgarh","RAIPUR","RAIPUR"
"Chhattisgarh","Chhattisgarh","KHAIRAGARH","RAJNANDGAON"
"Chhattisgarh","Chhattisgarh","SUKMA","SUKMA"
"Chhattisgarh","Chhattisgarh","SURAJPUR","SURAJPUR"
"Chhattisgarh","Chhattisgarh","SURGUJA","SURGUJA"
"Dadra and Nagar Haveli","Dadra and Nagar Haveli","DADRA","DADRA AND NAGAR HAVELI"
"Daman and Diu","Daman and Diu","DAMAN","DAMAN"
"Daman and Diu","Daman and Diu","DIU","DIU"
"Goa","Goa","PANAJI","NORTH GOA"
"Goa","Goa","MARMAGAO","SOUTH GOA"
"Gujarat","Gujarat","AHMADABAD","AHMADABAD"
"Gujarat","Gujarat","AMRELI","AMRELI"
"Gujarat","Gujarat","ANAND","ANAND"
"Gujarat","Gujarat","BHILODA","ARAVALLI"
"Gujarat","Gujarat","VADGAM","BANAS KANTHA"
"Gujarat","Gujarat","BHARUCH","BHARUCH"
"Gujarat","Gujarat","BHAVNAGAR","BHAVNAGAR"
"Gujarat","Gujarat","BOTAD","BOTAD"
"Gujarat","Gujarat","CHOTA UDAIPUR","CHHOTAUDEPUR"
"Gujarat","Gujarat","AHWA","DANG"
"Gujarat","Gujarat","DWARKA","DEVBHUMI DWARKA"
"Gujarat","Gujarat","DOHAD","DOHAD"
"Gujarat","Gujarat","GANDHINAGAR","GANDHINAGAR"
"Gujarat","Gujarat","SOMNATH","GIR SOMNATH"
"Gujarat","Gujarat","JAMNAGAR","JAMNAGAR"
"Gujarat","Gujarat","JUNAGADH","JUNAGADH"
"Gujarat","Gujarat","BHUJ","KACHCHH"
"Gujarat","Gujarat","KHEDA","KHEDA"
"Gujarat","Gujarat","MAHESANA","MAHESANA"
"Gujarat","Gujarat","LUNAVADA","MAHISAGAR"
"Gujarat","Gujarat","MORBI","MORBI"
"Gujarat","Gujarat","RAJPIPLA","NARMADA"
"Gujarat","Gujarat","NAVSARI","NAVSARI"
"Gujarat","Gujarat","GODHRA","PANCH MAHALS"
"Gujarat","Gujarat","PATAN","PATAN"
"Gujarat","Gujarat","PORBANDAR","PORBANDAR"
"Gujarat","Gujarat","RAJKOT","RAJKOT"
"Gujarat","Gujarat","HIMATNAGAR","SABAR KANTHA"
"Gujarat","Gujarat","SURAT","SURAT"
"Gujarat","Gujarat","SURENDRANAGAR","SURENDRANAGAR"
"Gujarat","Gujarat","SONGADH","TAPI"
"Gujarat","Gujarat","VADODARA","VADODARA"
"Gujarat","Gujarat","VALSAD","VALSAD"
"Haryana","Haryana","AMBALA","AMBALA"
"Haryana","Haryana","BHIWANI","BHIWANI"
"Haryana","Haryana","CHARKI DADRI","CHARKI DADRI"
"Haryana","Haryana","FARIDABAD","FARIDABAD"
"Haryana","Haryana","FATEHABAD","FATEHABAD"
"Haryana","Haryana","GURGAON","GURGAON"
"Haryana","Haryana","HISAR","HISAR"
"Haryana","Haryana","JHAJJAR","JHAJJAR"
"Haryana","Haryana","JIND","JIND"
"Haryana","Haryana","KAITHAL","KAITHAL"
"Haryana","Haryana","KARNAL","KARNAL"
"Haryana","Haryana","THANESAR","KURUKSHETRA"
"Haryana","Haryana","MAHENDRAGARH","MAHENDRAGARH"
"Haryana","Haryana","FEROZPUR JHIRKA","MEWAT"
"Haryana","Haryana","PALWAL","PALWAL"
"Haryana","Haryana","BARWALA","PANCHKULA"
"Haryana","Haryana","PANIPAT","PANIPAT"
"Haryana","Haryana","REWARI","REWARI"
"Haryana","Haryana","ROHTAK","ROHTAK"
"Haryana","Haryana","SIRSA","SIRSA"
"Haryana","Haryana","SONIPAT","SONIPAT"
"Haryana","Haryana","YAMUNANAGAR","YAMUNANAGAR"
"Himachal Pradesh","Himachal Pradesh","BILASPUR","BILASPUR"
"Himachal Pradesh","Himachal Pradesh","CHAMBA","CHAMBA"
"Himachal Pradesh","Himachal Pradesh","HAMIRPUR","HAMIRPUR"
"Himachal Pradesh","Himachal Pradesh","KANGRA","KANGRA"
"Himachal Pradesh","Himachal Pradesh","SANGLA","KINNAUR"
"Himachal Pradesh","Himachal Pradesh","MANALI","KULLU"
"Himachal Pradesh","Himachal Pradesh","SPITI","LAHUL AND SPITI"
"Himachal Pradesh","Himachal Pradesh","KARSOG","MANDI"
"Himachal Pradesh","Himachal Pradesh","SHIMLA","SHIMLA"
"Himachal Pradesh","Himachal Pradesh","NAHAN","SIRMAUR"
"Himachal Pradesh","Himachal Pradesh","SOLAN","SOLAN"
"Himachal Pradesh","Himachal Pradesh","UNA","UNA"
"Jammu and Kashmir","Jammu and Kashmir","ANANTNAG","ANANTNAG"
"Jammu and Kashmir","Jammu and Kashmir","BADGAM","BADGAM"
"Jammu and Kashmir","Jammu and Kashmir","BANDIPURA","BANDIPORA"
"Jammu and Kashmir","Jammu and Kashmir","GULMARG","BARAMULLA"
"Jammu and Kashmir","Jammu and Kashmir","DODA","DODA"
"Jammu and Kashmir","Jammu and Kashmir","GANDERBAL","GANDERBAL"
"Jammu and Kashmir","Jammu and Kashmir","JAMMU","JAMMU"
"Jammu and Kashmir","Jammu and Kashmir","KARGIL","KARGIL"
"Jammu and Kashmir","Jammu and Kashmir","KATHUA","KATHUA"
"Jammu and Kashmir","Jammu and Kashmir","KISHTWAR","KISHTWAR"
