,MappedState,MappedDistrict,Month,Year,MaxTemp(C),MinTemp(C),Rainfall(mm)
0,Andaman and Nicobar Islands,NICOBARS,Jan,2017,28,27,58.1
1,Andaman and Nicobar Islands,NICOBARS,Feb,2017,28,27,0.13
2,Andaman and Nicobar Islands,NICOBARS,Mar,2017,29,27,9.65
3,Andaman and Nicobar Islands,NICOBARS,Apr,2017,29,28,56.77
4,Andaman and Nicobar Islands,NICOBARS,May,2017,30,29,150.44
5,Andaman and Nicobar Islands,NICOBARS,Jun,2017,29,28,115.45
6,Andaman and Nicobar Islands,NICOBARS,Jul,2017,29,28,163.28
7,Andaman and Nicobar Islands,NICOBARS,Aug,2017,29,28,201.43
8,Andaman and Nicobar Islands,NICOBARS,Sep,2017,29,28,182.7
9,Andaman and Nicobar Islands,NICOBARS,Oct,2017,29,28,114.84
10,Andaman and Nicobar Islands,NICOBARS,Nov,2017,29,28,71.68
11,Andaman and Nicobar Islands,NICOBARS,Dec,2017,28,27,79.44
12,Andaman and Nicobar Islands,NICOBARS,Jan,2018,28,27,62.04
13,Andaman and Nicobar Islands,NICOBARS,Feb,2018,28,27,7.66
14,Andaman and Nicobar Islands,NICOBARS,Mar,2018,29,28,18.4
15,Andaman and Nicobar Islands,NICOBARS,Apr,2018,30,29,20.98
16,Andaman and Nicobar Islands,NICOBARS,May,2018,30,29,158.16
17,Andaman and Nicobar Islands,NICOBARS,Jun,2018,29,28,217.45
18,Andaman and Nicobar Islands,NICOBARS,Jul,2018,29,28,145.51
19,Andaman and Nicobar Islands,NICOBARS,Aug,2018,29,28,215.2
20,Andaman and Nicobar Islands,NICOBARS,Sep,2018,29,28,134.73
21,Andaman and Nicobar Islands,NICOBARS,Oct,2018,30,27,505.46
22,Andaman and Nicobar Islands,NICOBARS,Nov,2018,30,27,398.6
23,Andaman and Nicobar Islands,NICOBARS,Dec,2018,29,26,422.7
24,Andaman and Nicobar Islands,NICOBARS,Jan,2019,29,26,134.7
25,Andaman and Nicobar Islands,NICOBARS,Feb,2019,30,26,7.2
26,Andaman and Nicobar Islands,NICOBARS,Mar,2019,32,26,16.4
27,Andaman and Nicobar Islands,NICOBARS,Apr,2019,33,28,152.2
28,Andaman and Nicobar Islands,NICOBARS,May,2019,31,27,553.7
29,Andaman and Nicobar Islands,NICOBARS,Jun,2019,30,26,595.5
30,Andaman and Nicobar Islands,NICOBARS,Jul,2019,29,27,308.6
31,Andaman and Nicobar Islands,NICOBARS,Aug,2019,28,25,615.8
32,Andaman and Nicobar Islands,NICOBARS,Sep,2019,27,24,727.3
33,Andaman and Nicobar Islands,NICOBARS,Oct,2019,30,27,186.3
34,Andaman and Nicobar Islands,NICOBARS,Nov,2019,29,26,181.3
35,Andaman and Nicobar Islands,NICOBARS,Dec,2019,28,24,26
36,Andaman and Nicobar Islands,NICOBARS,Jan,2020,28,24,5.7
37,Andaman and Nicobar Islands,NICOBARS,Feb,2020,28,24,1.7
38,Andaman and Nicobar Islands,NICOBARS,Mar,2020,30,24,5.8
39,Andaman and Nicobar Islands,NICOBARS,Apr,2020,31,27,61.5
40,Andaman and Nicobar Islands,NICOBARS,May,2020,30,27,461.4
41,Andaman and Nicobar Islands,NICOBARS,Jun,2020,30,26,353.7
42,Andaman and Nicobar Islands,NICOBARS,Jul,2020,29,26,324.5
43,Andaman and Nicobar Islands,NICOBARS,Aug,2020,29,26,375
44,Andaman and Nicobar Islands,NICOBARS,Sep,2020,29,25,665.2
45,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jan,2017,28,26,32.61
46,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Feb,2017,28,26,0.04
47,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Mar,2017,30,26,3.4
48,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Apr,2017,30,28,50.47
49,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,May,2017,31,29,112.9
50,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jun,2017,30,28,107.58
51,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jul,2017,29,28,124.06
52,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Aug,2017,29,28,179.22
53,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sep,2017,30,28,124.12
54,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Oct,2017,29,28,99.2
55,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Nov,2017,30,28,58.64
56,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dec,2017,29,27,75.41
57,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jan,2018,28,26,50.57
58,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Feb,2018,29,26,3
59,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Mar,2018,30,26,24.17
60,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Apr,2018,31,28,7.85
61,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,May,2018,31,29,172.03
62,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jun,2018,29,28,108.21
63,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jul,2018,29,28,103.76
64,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Aug,2018,29,27,126
65,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sep,2018,29,27,117.72
66,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Oct,2018,30,28,346.97
67,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Nov,2018,30,27,188.7
68,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dec,2018,29,27,289.2
69,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jan,2019,28,26,122.4
70,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Feb,2019,30,26,0.2
71,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Mar,2019,31,26,0
72,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Apr,2019,32,27,38.1
73,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,May,2019,31,29,280.6
74,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jun,2019,30,26,588.8
75,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jul,2019,29,26,410.4
76,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Aug,2019,29,25,567.6
77,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sep,2019,27,23,439.8
78,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Oct,2019,30,28,188.9
79,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Nov,2019,29,27,161.3
80,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Dec,2019,27,25,8.7
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jan,2020,28,25,0.7
82,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Feb,2020,28,24,0
83,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Mar,2020,28,25,0.6
84,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Apr,2020,30,27,31.3
85,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,May,2020,31,27,318.3
86,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jun,2020,30,27,501.3
87,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Jul,2020,29,26,367.8
88,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Aug,2020,29,26,276.5
89,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Sep,2020,29,26,566.1
90,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jan,2017,28,27,58.1
91,Andaman and Nicobar Islands,SOUTH ANDAMANS,Feb,2017,28,27,0.13
92,Andaman and Nicobar Islands,SOUTH ANDAMANS,Mar,2017,29,27,9.65
93,Andaman and Nicobar Islands,SOUTH ANDAMANS,Apr,2017,29,28,56.77
94,Andaman and Nicobar Islands,SOUTH ANDAMANS,May,2017,30,29,150.44
95,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jun,2017,29,28,115.45
96,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jul,2017,29,28,163.28
97,Andaman and Nicobar Islands,SOUTH ANDAMANS,Aug,2017,29,28,201.43
98,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sep,2017,29,28,182.7
99,Andaman and Nicobar Islands,SOUTH ANDAMANS,Oct,2017,29,28,114.84
100,Andaman and Nicobar Islands,SOUTH ANDAMANS,Nov,2017,29,28,71.68
101,Andaman and Nicobar Islands,SOUTH ANDAMANS,Dec,2017,28,27,79.44
102,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jan,2018,28,27,62.04
103,Andaman and Nicobar Islands,SOUTH ANDAMANS,Feb,2018,28,27,7.66
104,Andaman and Nicobar Islands,SOUTH ANDAMANS,Mar,2018,29,28,18.4
105,Andaman and Nicobar Islands,SOUTH ANDAMANS,Apr,2018,30,29,20.98
106,Andaman and Nicobar Islands,SOUTH ANDAMANS,May,2018,30,29,158.16
107,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jun,2018,29,28,217.45
108,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jul,2018,29,28,145.51
109,Andaman and Nicobar Islands,SOUTH ANDAMANS,Aug,2018,29,28,215.2
110,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sep,2018,29,28,134.73
111,Andaman and Nicobar Islands,SOUTH ANDAMANS,Oct,2018,30,27,505.46
112,Andaman and Nicobar Islands,SOUTH ANDAMANS,Nov,2018,30,27,398.6
113,Andaman and Nicobar Islands,SOUTH ANDAMANS,Dec,2018,29,26,422.7
114,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jan,2019,29,26,134.7
115,Andaman and Nicobar Islands,SOUTH ANDAMANS,Feb,2019,30,26,7.2
116,Andaman and Nicobar Islands,SOUTH ANDAMANS,Mar,2019,32,26,16.4
117,Andaman and Nicobar Islands,SOUTH ANDAMANS,Apr,2019,33,28,152.2
118,Andaman and Nicobar Islands,SOUTH ANDAMANS,May,2019,31,27,553.7
119,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jun,2019,30,26,595.5
120,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jul,2019,29,27,308.6
121,Andaman and Nicobar Islands,SOUTH ANDAMANS,Aug,2019,28,25,615.8
122,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sep,2019,27,24,727.3
123,Andaman and Nicobar Islands,SOUTH ANDAMANS,Oct,2019,30,27,186.3
124,Andaman and Nicobar Islands,SOUTH ANDAMANS,Nov,2019,29,26,181.3
125,Andaman and Nicobar Islands,SOUTH ANDAMANS,Dec,2019,28,24,26
126,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jan,2020,28,24,5.7
127,Andaman and Nicobar Islands,SOUTH ANDAMANS,Feb,2020,28,24,1.7
128,Andaman and Nicobar Islands,SOUTH ANDAMANS,Mar,2020,30,24,5.8
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,Apr,2020,31,27,61.5
130,Andaman and Nicobar Islands,SOUTH ANDAMANS,May,2020,30,27,461.4
131,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jun,2020,30,26,353.7
132,Andaman and Nicobar Islands,SOUTH ANDAMANS,Jul,2020,29,26,324.5
133,Andaman and Nicobar Islands,SOUTH ANDAMANS,Aug,2020,29,26,375
134,Andaman and Nicobar Islands,SOUTH ANDAMANS,Sep,2020,29,25,665.2
135,Andhra Pradesh,ANANTAPUR,Jan,2017,30,18,4.96
136,Andhra Pradesh,ANANTAPUR,Feb,2017,33,20,0
137,Andhra Pradesh,ANANTAPUR,Mar,2017,37,24,6.93
138,Andhra Pradesh,ANANTAPUR,Apr,2017,40,28,4.48
139,Andhra Pradesh,ANANTAPUR,May,2017,39,29,13.3
140,Andhra Pradesh,ANANTAPUR,Jun,2017,34,26,42.51
141,Andhra Pradesh,ANANTAPUR,Jul,2017,34,26,6.99
142,Andhra Pradesh,ANANTAPUR,Aug,2017,33,26,13.44
143,Andhra Pradesh,ANANTAPUR,Sep,2017,33,26,33.39
144,Andhra Pradesh,ANANTAPUR,Oct,2017,32,24,34.53
145,Andhra Pradesh,ANANTAPUR,Nov,2017,31,22,3.37
146,Andhra Pradesh,ANANTAPUR,Dec,2017,30,19,0.14
147,Andhra Pradesh,ANANTAPUR,Jan,2018,30,20,0
148,Andhra Pradesh,ANANTAPUR,Feb,2018,32,21,0.05
149,Andhra Pradesh,ANANTAPUR,Mar,2018,36,26,0.53
150,Andhra Pradesh,ANANTAPUR,Apr,2018,39,29,0.77
151,Andhra Pradesh,ANANTAPUR,May,2018,38,30,19.67
152,Andhra Pradesh,ANANTAPUR,Jun,2018,34,27,35.32
153,Andhra Pradesh,ANANTAPUR,Jul,2018,32,26,9.55
154,Andhra Pradesh,ANANTAPUR,Aug,2018,32,25,18.07
155,Andhra Pradesh,ANANTAPUR,Sep,2018,33,26,25.31
156,Andhra Pradesh,ANANTAPUR,Oct,2018,33,24,70.6
157,Andhra Pradesh,ANANTAPUR,Nov,2018,31,22,32.1
158,Andhra Pradesh,ANANTAPUR,Dec,2018,30,21,24.8
159,Andhra Pradesh,ANANTAPUR,Jan,2019,30,21,26.3
160,Andhra Pradesh,ANANTAPUR,Feb,2019,34,24,3.8
161,Andhra Pradesh,ANANTAPUR,Mar,2019,38,28,0.8
162,Andhra Pradesh,ANANTAPUR,Apr,2019,40,31,10
